source,id,link,rooms,surface,rent,kreis,floor,start_date
Livit,5880.01.0201,https://www.livit.ch/fr/locataire/objet/5880.01.0201,3.5,118 m²,CHF2850.-,8048,2. Etage,01.02.2023
Livit,ddf4cac01c0417c7158e5ee36876aae9,https://www.livit.ch/fr/locataire/objet/ddf4cac01c0417c7158e5ee36876aae9,3.5,74 m²,CHF2930.-,8047,2. Etage,01.02.2023
Livit,7542.05.0042,https://www.livit.ch/fr/locataire/objet/7542.05.0042,4.5,136 m²,CHF3269.-,8047,4. Etage,16.03.2023
Livit,8417.01.0301,https://www.livit.ch/fr/locataire/objet/8417.01.0301,3.5,80 m²,CHF3100.-,8002,3. Etage,01.12.2022
Livit,5066.01.0003,https://www.livit.ch/fr/locataire/objet/5066.01.0003,4.0,97 m²,CHF3480.-,8044,1. Etage,16.12.2022
HB,7265,https://www.hbre.ch/de/offer/detail--7265,3.5,107 m²,CHF 3'150/pro Monat,8038 Zürich,,
HB,8550,https://www.hbre.ch/de/offer/detail--8550,3.5,224 m²,CHF 3'740/pro Monat,8041 Zürich,,
HB,8521,https://www.hbre.ch/de/offer/detail--8521,3.0,55 m²,CHF 2'220/pro Monat,8046 Zürich,,
EngelVoekler,4530957.944325_exp/,https://www.engelvoelkers.com/fr-ch/bien-immobilier/herrschaftliche-mietwohnung-am-rhein-4530957.944325_exp/,"5,5",325 m², 5900  ,Eglisau,,
EngelVoekler,4595551.951684_exp/,https://www.engelvoelkers.com/fr-ch/bien-immobilier/traumhafte-wohnung-mit-see-und-fernsicht-4595551.951684_exp/,"5,5",2, 5425  ,Kreis 7 Witikon,,
EngelVoekler,4591410.951131_exp/,https://www.engelvoelkers.com/fr-ch/bien-immobilier/vermietet%3A-dach-maisonette-nahe-paradeplatz-4591410.951131_exp/,1,1, 5290  ,Kreis 1 Stadtmitte,,
EngelVoekler,4575123.948190_exp/,https://www.engelvoelkers.com/fr-ch/bien-immobilier/vermietet-privater-luxus-in-stadtnaehe-4575123.948190_exp/,2,2, (sur demande) ,Uitikon,,
EngelVoekler,4571947.952523_exp/,https://www.engelvoelkers.com/fr-ch/bien-immobilier/%C2%ABvermietet%C2%BB-4-5-zimmer-attika-traum-nur-30m-vom-see-4571947.952523_exp/,3,2, (sur demande) ,Herrliberg,,
EngelVoekler,4566846.947495_exp/,https://www.engelvoelkers.com/fr-ch/bien-immobilier/vermietet-hochwertige-mietwohnung-in-urbanem-quartier-4566846.947495_exp/,"3,5",2, (sur demande) ,Kreis 6 Unter-/Oberstrass,,
